category,api_field_id,gold_column,description,api_type,api_required,status,source,blocker
Pressure Injury,PI-01,pi_01_assessed,Assessed for pressure injuries,integer,TRUE,Computed,"fact_assessmentform — forms: 'Skin, Hair and Nails Assessment'; 'Complex Wound Assessment' (Wound Type LIKE '%pressure injury%'); 'Wound Assessment and Management Plan' (reason LIKE '%pressure injury%')",
Pressure Injury,PI-02,pi_02_excluded_consent,Excluded — withheld consent,integer,TRUE,NULL,,No data source for consent withholding in CM DW
Pressure Injury,PI-03,pi_03_excluded_absence,Excluded — absent from funded care,integer,TRUE,NULL,,No leave/absence data source in CM DW
Pressure Injury,PI-04,pi_04_with_pressure_injury,With ≥1 pressure injury,integer,TRUE,Computed,"dw_fact_chartobservation — Wound Chart; fact_chartobservationresponse — question 'Pressure injury classification' LIKE any stage pattern",
Pressure Injury,PI-05,pi_05_stage1_count,Stage 1 pressure injury count,integer,TRUE,Computed,Same as PI-04 — classification LIKE 'stage 1%',
Pressure Injury,PI-06,pi_06_stage2_count,Stage 2 pressure injury count,integer,TRUE,Computed,Same as PI-04 — classification LIKE 'stage 2%',
Pressure Injury,PI-07,pi_07_stage3_count,Stage 3 pressure injury count,integer,TRUE,Computed,Same as PI-04 — classification LIKE 'stage 3%',
Pressure Injury,PI-08,pi_08_stage4_count,Stage 4 pressure injury count,integer,TRUE,Computed,Same as PI-04 — classification LIKE 'stage 4%',
Pressure Injury,PI-09,pi_09_unstageable_count,Unstageable pressure injury count,integer,TRUE,Computed,Same as PI-04 — classification LIKE 'unstageable%',
Pressure Injury,PI-10,pi_10_suspected_dti_count,Suspected DTI count,integer,TRUE,Computed,Same as PI-04 — classification LIKE 'suspected deep tissue%',
Pressure Injury,PI-11,pi_11_acquired_offsite,With ≥1 PI acquired outside facility,integer,TRUE,Computed,"Same as PI-04 + fact_chartobservationresponse — question 'Where was the wound acquired?' = 'Acquired outside facility'",
Pressure Injury,PI-12,pi_12_stage1_offsite,Stage 1 offsite,integer,TRUE,Computed,Same as PI-11 + classification LIKE 'stage 1%',
Pressure Injury,PI-13,pi_13_stage2_offsite,Stage 2 offsite,integer,TRUE,Computed,Same as PI-11 + classification LIKE 'stage 2%',
Pressure Injury,PI-14,pi_14_stage3_offsite,Stage 3 offsite,integer,TRUE,Computed,Same as PI-11 + classification LIKE 'stage 3%',
Pressure Injury,PI-15,pi_15_stage4_offsite,Stage 4 offsite,integer,TRUE,Computed,Same as PI-11 + classification LIKE 'stage 4%',
Pressure Injury,PI-16,pi_16_unstageable_offsite,Unstageable offsite,integer,TRUE,Computed,Same as PI-11 + classification LIKE 'unstageable%',
Pressure Injury,PI-17,pi_17_suspected_dti_offsite,Suspected DTI offsite,integer,TRUE,Computed,Same as PI-11 + classification LIKE 'suspected deep tissue%',
Restrictive Practices,PR-02,rp_02_assessed,Assessed for restrictive practices (excl. chemical restraint),integer,TRUE,NULL,,No data source found in Telstra Health warehouse; Restrictive Practice Chart is not helpful. Check new CM platform.
Restrictive Practices,PR-03,rp_03_excluded_absence,Excluded — absent from funded care,integer,TRUE,NULL,,Blocked by PR-02 having no data source
Restrictive Practices,PR-04,rp_04_subjected,Subjected to restrictive practices,integer,TRUE,NULL,,Blocked by PR-02 having no data source
